Date,Description,Category,Amount
2026-01-05,Starbucks,Dining,6.50
2026-01-15,Netflix,Subscriptions,15.99
2026-01-20,Kroger,Groceries,124.50
2026-02-04,Starbucks,Dining,7.20
2026-02-14,Whole Foods,Groceries,85.10
2026-02-15,Netflix,Subscriptions,15.99
2026-03-02,Chevron Gas,Utilities,45.00
2026-03-10,Amazon Shopping,Shopping,150.00
2026-03-15,Netflix,Subscriptions,15.99
2026-03-22,Kroger,Groceries,112.40
2026-04-05,Starbucks,Dining,6.50
2026-04-15,Netflix,Subscriptions,15.99
2026-04-18,Kroger,Groceries,95.30
2026-05-02,Chevron Gas,Utilities,50.00
2026-05-12,Amazon Shopping,Shopping,75.00
2026-05-15,Netflix,Subscriptions,15.99
2026-05-28,Whole Foods,Groceries,140.20
2026-06-03,Starbucks,Dining,7.50
2026-06-15,Netflix,Subscriptions,15.99
2026-06-20,Kroger,Groceries,132.10
